Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
2, 5, Read, 0, 109, 0.012674516
0, 5, sync_write_read, 0, 36, 0.036289601
1, 5, Read, 0, 108, 0.013135539
3, 5, Read, 0, 109, 0.012789127
4, 5, Read, 0, 110, 0.009853976
2, 5, Read, 0, 110, 0.010785101
1, 5, Read, 0, 109, 0.010317304
3, 5, Read, 0, 110, 0.010473609
4, 5, Read, 0, 111, 0.013372301
2, 5, Read, 0, 111, 0.012465412
1, 5, Read, 0, 110, 0.012543076
3, 5, Read, 0, 111, 0.012507037
4, 5, Read, 0, 112, 0.009796218
2, 5, Read, 0, 112, 0.010533323
0, 5, sync_write_read, 0, 37, 0.033201638
1, 5, Read, 0, 111, 0.010477589
3, 5, Read, 0, 112, 0.010347196
4, 5, Read, 0, 113, 0.010512021
2, 5, Read, 0, 113, 0.01312178
1, 5, Read, 0, 112, 0.013179609
3, 5, Read, 0, 113, 0.013295476
4, 5, Read, 0, 114, 0.013134073
2, 5, Read, 0, 114, 0.010576205
1, 5, Read, 0, 113, 0.01058752
3, 5, Read, 0, 114, 0.010528364
4, 5, Read, 0, 115, 0.010721406
2, 5, Read, 0, 115, 0.012810987
0, 5, sync_write_read, 0, 38, 0.03682696
1, 5, Read, 0, 114, 0.012880967
3, 5, Read, 0, 115, 0.012935863
4, 5, Read, 0, 116, 0.012757558
2, 5, Read, 0, 116, 0.010644301
1, 5, Read, 0, 115, 0.010294605
3, 5, Read, 0, 116, 0.010304593
4, 5, Read, 0, 117, 0.010456288
2, 5, Read, 0, 117, 0.012407234
1, 5, Read, 0, 116, 0.012744987
3, 5, Read, 0, 117, 0.012547196
4, 5, Read, 0, 118, 0.012527501
2, 5, Read, 0, 118, 0.009866268
0, 5, sync_write_read, 0, 39, 0.03362306
1, 5, Read, 0, 117, 0.010015659
3, 5, Read, 0, 118, 0.010790269
4, 5, Read, 0, 119, 0.010871006
2, 5, Read, 0, 119, 0.013541107
1, 5, Read, 0, 118, 0.013168574
3, 5, Read, 0, 119, 0.012604326
4, 5, Read, 0, 120, 0.012653843
2, 5, Read, 0, 120, 0.009866338
1, 5, Read, 0, 119, 0.010272256
3, 5, Read, 0, 120, 0.011405919
4, 5, Read, 0, 121, 0.011406758
2, 5, Read, 0, 121, 0.014172752
0, 5, sync_write_read, 0, 40, 0.036856782
1, 5, Read, 0, 120, 0.014383533
3, 5, Read, 0, 121, 0.01316145
4, 5, Read, 0, 122, 0.013137914
2, 5, Read, 0, 122, 0.010408028
1, 5, Read, 0, 121, 0.010648631
3, 5, Read, 0, 122, 0.010843557
4, 5, Read, 0, 123, 0.010875545
2, 5, Read, 0, 123, 0.013628409
1, 5, Read, 0, 122, 0.012988454
3, 5, Read, 0, 123, 0.012704619
4, 5, Read, 0, 124, 0.012645882
2, 5, Read, 0, 124, 0.009863475
0, 5, sync_write_read, 0, 41, 0.034644699
1, 5, Read, 0, 123, 0.010071532
3, 5, Read, 0, 124, 0.010812548
4, 5, Read, 0, 125, 0.010835177
2, 5, Read, 0, 125, 0.013514917
1, 5, Read, 0, 124, 0.012986148
3, 5, Read, 0, 125, 0.012968688
4, 5, Read, 0, 126, 0.012934257
2, 5, Read, 0, 126, 0.010270231
1, 5, Read, 0, 125, 0.010831336
3, 5, Read, 0, 126, 0.010845094
4, 5, Read, 0, 127, 0.010520612
2, 5, Read, 0, 127, 0.01071079
0, 5, sync_write_read, 0, 42, 0.036691048
1, 5, Read, 0, 126, 0.01315258
3, 5, Read, 0, 127, 0.012568987
4, 5, Read, 0, 128, 0.012947806
2, 5, Read, 0, 128, 0.012735139
1, 5, Read, 0, 127, 0.010148777
3, 5, Read, 0, 128, 0.01030131
4, 5, Read, 0, 129, 0.010237545
2, 5, Read, 0, 129, 0.010440015
1, 5, Read, 0, 128, 0.012219641
3, 5, Read, 0, 129, 0.012303519
4, 5, Read, 0, 130, 0.012637151
2, 5, Read, 0, 130, 0.012675704
0, 5, sync_write_read, 0, 43, 0.032992254
1, 5, Read, 0, 129, 0.011132282
