thread nr: 0
thread nr: 3
Starting tests
thread nr: 2
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 1
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 4
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
2, 5, Read, true, 112, 0.010976745
1, 5, Read, true, 112, 0.012588543
3, 5, Read, true, 111, 0.012705387
4, 5, Read, true, 113, 0.012577158
2, 5, Read, true, 113, 0.012606841
1, 5, Read, true, 113, 0.011201843
3, 5, Read, true, 112, 0.01091312
4, 5, Read, true, 114, 0.011165666
2, 5, Read, true, 114, 0.011166923
0, 5, sync_write_read, true, 37, 0.037527049
1, 5, Read, true, 114, 0.012760421
3, 5, Read, true, 113, 0.013073729
4, 5, Read, true, 115, 0.012908834
2, 5, Read, true, 115, 0.012860434
1, 5, Read, true, 115, 0.011310866
3, 5, Read, true, 114, 0.011623056
4, 5, Read, true, 116, 0.011607901
2, 5, Read, true, 116, 0.011578008
1, 5, Read, true, 116, 0.013888079
3, 5, Read, true, 115, 0.013203146
4, 5, Read, true, 117, 0.01337251
2, 5, Read, true, 117, 0.013239812
0, 5, sync_write_read, true, 38, 0.035989702
1, 5, Read, true, 117, 0.010878688
3, 5, Read, true, 116, 0.01138392
4, 5, Read, true, 118, 0.01144126
2, 5, Read, true, 118, 0.014124492
1, 5, Read, true, 118, 0.01376439
3, 5, Read, true, 117, 0.013152091
4, 5, Read, true, 119, 0.013299806
2, 5, Read, true, 119, 0.010611894
1, 5, Read, true, 119, 0.011302834
3, 5, Read, true, 118, 0.011474574
4, 5, Read, true, 120, 0.011257088
2, 5, Read, true, 120, 0.01378171
0, 5, sync_write_read, true, 39, 0.037861868
1, 5, Read, true, 120, 0.013472035
3, 5, Read, true, 119, 0.013415533
4, 5, Read, true, 121, 0.013270962
2, 5, Read, true, 121, 0.011484421
1, 5, Read, true, 121, 0.011071799
3, 5, Read, true, 120, 0.010959565
4, 5, Read, true, 122, 0.011022282
2, 5, Read, true, 122, 0.013215647
1, 5, Read, true, 122, 0.013235621
3, 5, Read, true, 121, 0.013345971
4, 5, Read, true, 123, 0.013179818
2, 5, Read, true, 123, 0.011050078
0, 5, sync_write_read, true, 40, 0.035740369
1, 5, Read, true, 123, 0.010998605
3, 5, Read, true, 122, 0.010788173
4, 5, Read, true, 124, 0.014610727
2, 5, Read, true, 124, 0.013868803
1, 5, Read, true, 124, 0.013924676
3, 5, Read, true, 123, 0.014090339
4, 5, Read, true, 125, 0.010226301
2, 5, Read, true, 125, 0.011175723
1, 5, Read, true, 125, 0.011116218
3, 5, Read, true, 124, 0.011140733
4, 5, Read, true, 126, 0.013863495
2, 5, Read, true, 126, 0.012910929
0, 5, sync_write_read, true, 41, 0.03852536
1, 5, Read, true, 126, 0.012978256
3, 5, Read, true, 125, 0.012952974
4, 5, Read, true, 127, 0.010241456
2, 5, Read, true, 127, 0.011223075
1, 5, Read, true, 127, 0.011178237
3, 5, Read, true, 126, 0.011229431
4, 5, Read, true, 128, 0.014040263
2, 5, Read, true, 128, 0.013043488
1, 5, Read, true, 128, 0.013464632
3, 5, Read, true, 127, 0.013310841
4, 5, Read, true, 129, 0.011196466
2, 5, Read, true, 129, 0.011218676
0, 5, sync_write_read, true, 42, 0.035513175
1, 5, Read, true, 129, 0.010816319
3, 5, Read, true, 128, 0.010944967
4, 5, Read, true, 130, 0.01318331
2, 5, Read, true, 130, 0.013356237
1, 5, Read, true, 130, 0.01328926
3, 5, Read, true, 129, 0.013109977
4, 5, Read, true, 131, 0.010921361
2, 5, Read, true, 131, 0.010682852
1, 5, Read, true, 131, 0.010768339
3, 5, Read, true, 130, 0.010913679
4, 5, Read, true, 132, 0.013409178
2, 5, Read, true, 132, 0.013820543
0, 5, sync_write_read, true, 43, 0.037458464
1, 5, Read, true, 132, 0.013580359
3, 5, Read, true, 131, 0.013424682
4, 5, Read, true, 133, 0.010928415
2, 5, Read, true, 133, 0.010623209
1, 5, Read, true, 133, 0.011323857
3, 5, Read, true, 132, 0.014103679
4, 5, Read, true, 134, 0.013400028
2, 5, Read, true, 134, 0.013863076
1, 5, Read, true, 134, 0.013139101
3, 5, Read, true, 133, 0.010367589
4, 5, Read, true, 135, 0.011397259
2, 5, Read, true, 135, 0.011113494
0, 5, sync_write_read, true, 44, 0.036009467
1, 5, Read, true, 135, 0.011418212
3, 5, Read, true, 134, 0.013902815
4, 5, Read, true, 136, 0.01288432
2, 5, Read, true, 136, 0.01315705
1, 5, Read, true, 136, 0.013021907
3, 5, Read, true, 135, 0.010362421
4, 5, Read, true, 137, 0.011327768
2, 5, Read, true, 137, 0.011187246
1, 5, Read, true, 137, 0.011127951
3, 5, Read, true, 136, 0.014249787
4, 5, Read, true, 138, 0.013523158
2, 5, Read, true, 138, 0.013440187
0, 5, sync_write_read, true, 45, 0.037639284
1, 5, Read, true, 138, 0.013285978
3, 5, Read, true, 137, 0.011015716
4, 5, Read, true, 139, 0.010718891
2, 5, Read, true, 139, 0.010900758
1, 5, Read, true, 139, 0.010823792
3, 5, Read, true, 138, 0.01298971
4, 5, Read, true, 140, 0.013211806
2, 5, Read, true, 140, 0.013372091
1, 5, Read, true, 140, 0.013379425
3, 5, Read, true, 139, 0.011221469
4, 5, Read, true, 141, 0.011180402
2, 5, Read, true, 141, 0.01138406
0, 5, sync_write_read, true, 46, 0.035635747
1, 5, Read, true, 141, 0.014066035
3, 5, Read, true, 140, 0.013391089
4, 5, Read, true, 142, 0.013576377
2, 5, Read, true, 142, 0.012814967
1, 5, Read, true, 142, 0.010095697
3, 5, Read, true, 141, 0.010742357
4, 5, Read, true, 143, 0.010420459
2, 5, Read, true, 143, 0.01102731
1, 5, Read, true, 143, 0.013882422
3, 5, Read, true, 142, 0.013215717
4, 5, Read, true, 144, 0.013635812
2, 5, Read, true, 144, 0.012970574
0, 5, sync_write_read, true, 47, 0.036858598
1, 5, Read, true, 144, 0.010128663
3, 5, Read, true, 143, 0.010777418
4, 5, Read, true, 145, 0.010413266
2, 5, Read, true, 145, 0.011137939
1, 5, Read, true, 145, 0.013855672
3, 5, Read, true, 144, 0.013159565
4, 5, Read, true, 146, 0.013506955
2, 5, Read, true, 146, 0.01278312
1, 5, Read, true, 146, 0.010082287
3, 5, Read, true, 145, 0.010840415
4, 5, Read, true, 147, 0.010420948
2, 5, Read, true, 147, 0.011046307
0, 5, sync_write_read, true, 48, 0.035092312
1, 5, Read, true, 147, 0.013893946
3, 5, Read, true, 146, 0.013128276
4, 5, Read, true, 148, 0.013555495
2, 5, Read, true, 148, 0.012957374
1, 5, Read, true, 148, 0.010590313
3, 5, Read, true, 147, 0.011543926
