PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
Bytes,IP,ICMP Seq,TTL,Time
64,10.0.0.1,610,128,0.352
64,10.0.0.1,611,128,0.330
64,10.0.0.1,612,128,0.335
64,10.0.0.1,613,128,0.296
64,10.0.0.1,614,128,0.343
64,10.0.0.1,615,128,0.351
64,10.0.0.1,616,128,0.350
64,10.0.0.1,617,128,0.349
64,10.0.0.1,618,128,0.356
64,10.0.0.1,619,128,0.337
64,10.0.0.1,620,128,0.348
64,10.0.0.1,621,128,0.336
64,10.0.0.1,622,128,0.344
64,10.0.0.1,623,128,0.326
64,10.0.0.1,624,128,0.344
64,10.0.0.1,625,128,0.352
64,10.0.0.1,626,128,0.926
64,10.0.0.1,627,128,0.463
64,10.0.0.1,628,128,0.422
64,10.0.0.1,629,128,0.809
64,10.0.0.1,630,128,0.351
64,10.0.0.1,631,128,0.334
64,10.0.0.1,632,128,0.611
64,10.0.0.1,633,128,0.328
64,10.0.0.1,634,128,0.337
64,10.0.0.1,635,128,0.399
64,10.0.0.1,636,128,0.351
64,10.0.0.1,637,128,0.354
64,10.0.0.1,638,128,0.333
64,10.0.0.1,639,128,0.342
64,10.0.0.1,640,128,0.339
64,10.0.0.1,641,128,0.352
64,10.0.0.1,642,128,0.332
64,10.0.0.1,643,128,0.333
64,10.0.0.1,644,128,0.349
64,10.0.0.1,645,128,0.358
64,10.0.0.1,646,128,0.337
64,10.0.0.1,647,128,0.370
64,10.0.0.1,648,128,0.327
64,10.0.0.1,649,128,0.342
64,10.0.0.1,650,128,0.329
64,10.0.0.1,651,128,0.335
64,10.0.0.1,652,128,0.348
64,10.0.0.1,653,128,0.348
64,10.0.0.1,654,128,0.333
64,10.0.0.1,655,128,0.330
64,10.0.0.1,656,128,0.335
64,10.0.0.1,657,128,0.379
64,10.0.0.1,658,128,3.02
64,10.0.0.1,659,128,0.350
64,10.0.0.1,660,128,2.94
64,10.0.0.1,661,128,0.338
64,10.0.0.1,662,128,2.85
